local,preco,metragem,quartos,garagens,banheiros
"Rua Francisco Zuneda Ferreira da Costa, Bairro Alto",1298000,190,3,2,4
"Rua Adolpho Bertoldi, Campo de Santana",230000,62,2,1,1
"Rua Doutor Goulin, Juvevê",723996,86,3,1,2
"Centro, Curitiba",337900,22,,,
"Rua Paulo Martins, Mercês",880000,85,2,2,2
"Santa Felicidade, Curitiba",1290000,1327,,,
"Rua Mariano Torres, Centro",766000,106,3,1,2
"Avenida República Argentina, Vila Izabel",359000,45,,1,
"Rua Antônio Freitas Barbosa, Capão Raso",369900,45,2,1,1
"Avenida Visconde de Guarapuava, Centro",247735,30,1,,1
"Rua Engenheiros Rebouças, Rebouças",2500000,1032,,,
"Rua Luiz França, Cajuru",229000,35,2,,1
"Bigorrilho, Curitiba",1908000,160,3,3,4
"Rua Elbe Pospissil, Juvevê",2169226,135,3,3,4
"Cidade Industrial, Curitiba",690000,68,2,2,2
"Rua Alberto Francisco Tossin, Mossunguê",648000,109,2,3,3
"Avenida Presidente Affonso Camargo, Cristo Rei",781400,77,3,1,2
"Rua Manoel Eufrásio, Juvevê",1431972,128-250,3,2,4-5
"Avenida Iguaçu, Vila Izabel",2343294,172-263,3,4,4
"Avenida Iguaçu, Vila Izabel",1335914,114-141,3,2,3-4
"Neoville, Curitiba",642110,109,3,2,3
"Cidade Industrial, Curitiba",950000,160,5,2,5
"Rua Rezala Simão, Santa Quitéria",2899000,390,4,4,6
"Rua David Tows, Sitio Cercado",500000,103,4,1,3
"Rua Carlos de Campos, Boa Vista",970000,194,3,2,1
"Rua Antônio Daniel Dalcuche Filho, Uberaba",700000,124,,1,3
"Cabral, Curitiba",789385,83,2,1,2
"Rua Gerd Claassen, Butiatuvinha",1700000,430,4,4,5
"Santo Inácio, Curitiba",582000,69,3,2,2
"Rua Martim Afonso, Champagnat",2108900,159,3,3,3
"Rua Padre Dehon, Boqueirão",750000,134,3,2,4
"Rua Eponino Macuco, Capão Raso",449500,67,3,1,2
"Rua Alferes Ângelo Sampaio, Mercês",1067000,90,2,3,3
"Rua Capitão João Zaleski, Lindóia",730000,672,,,
"Rua Santo Antônio, Rebouças",392000,65,2,1,1
"Rua Mariano Torres, Centro",1193000,106,3,1,1
"Rua José Brusamolin, São Lourenço",690000,276,,,
"Rua José Brusamolin, São Lourenço",1900000,290,5,2,5
"Rua Deputado Benedito Lúcio Machado, Xaxim",529900,109,3,2,3
"Rua José Baggio, Campo Comprido",899000,1478,,,
"Rua Conde dos Arcos, Lindóia",549720,141,3,2,3
"Avenida Iguaçu, Seminário",1185524,95-96,2,2,3
"Rua Oyapock, Cristo Rei",622000,77,3,2,2-3
"Rua Vieira dos Santos, Centro Cívico",1600000,145-327,3-4,2-4,5-6
"Ecoville, Curitiba",824000,88,3,2,2
"Rua Santa Bertila Boscardin, Santa Felicidade",4300000,451,4,12,6
"Barreirinha, Curitiba",1490000,254,4,4,3
"Rua João Batista Trentin, Tingui",524900,68,3,1,2
"Avenida República Argentina, Vila Izabel",359000,45,,1,
"Rua Antônio Valle, Santa Felicidade",5899430,5163,,,
"Rua José Zaleski, Capão Raso",336094,52,2,1,1
"Avenida Visconde de Guarapuava, Centro",247735,30,1,,1
"Cachoeira, Curitiba",297000,396,,,
"Rua Engenheiros Rebouças, Rebouças",2500000,1032,,,
"Rua Antônio Freitas Barbosa, Capão Raso",365900,48,2,1,1
"Bigorrilho, Curitiba",1908000,160,3,3,4
"Rua Carmelina Cavassin, Abranches",650000,457,,,
"Rua Elbe Pospissil, Juvevê",2169226,135,3,3,4
"Rua Vereador Washington Mansur, Ahú",825000,97,3,2,1
"Cidade Industrial, Curitiba",690000,68,2,2,2
"Rua Doutor João Evangelista Espíndola, Tarumã",8000000,3280,,,
"Avenida Presidente Affonso Camargo, Cristo Rei",781400,77,3,1,2
"Rebouças, Curitiba",428000,55,2,,1
"Rua Nicolau José Gravina, Cascatinha",3749811,384,4,4,5
"Alameda Princesa Izabel, São Francisco",1748880,126,3,3,3
"Rua Guaratuba, Ahú",1060000,110-174,3,2-3,3-4
"Rua Martim Afonso, Champagnat",1445900,125-268,2-4,2-4,3-5
"Rua Martim Afonso, Bigorrilho",Sobconsulta,125-394,2-4,1-2,2-7
"Rua Alferes Ângelo Sampaio, Batel",2220000,151,3,3,4
"Rua David Bodziak, Cachoeira",5000000,3934,,,
"Rua Joanna Costa, Santa Felicidade",2550000,529,5,4,6
"Rua Presidente Epitácio Pessoa, Jardim Social",470000,66,2,1,2
"Avenida República Argentina, Vila Izabel",359000,45,,1,
"Rua Antônio Freitas Barbosa, Capão Raso",369900,45,2,1,1
"Avenida Visconde de Guarapuava, Centro",247735,30,1,,1
"Bacacheri, Curitiba",540000,68,2,1,1
"Rua Engenheiros Rebouças, Rebouças",2500000,1032,,,
"Rua Eduardo Geronasso, Bacacheri",1300000,665,,,
"Rua Luiz França, Cajuru",229000,35,2,,1
"Bigorrilho, Curitiba",1908000,160,3,3,4
"Rua Carmelina Cavassin, Abranches",650000,457,,,
"Rua Elbe Pospissil, Juvevê",2169226,135,3,3,4
"Avenida Visconde de Guarapuava, Centro",927859,96,3,1,2
"Cidade Industrial, Curitiba",690000,68,2,2,2
"Rua Walace Landal, Santa Cândida",145000,46,2,1,1
"Rua Alberto Francisco Tossin, Mossunguê",648000,109,2,3,3
"Rua Jerônimo Durski, Bigorrilho",870605,94,3,1,2
"Avenida Presidente Affonso Camargo, Cristo Rei",781400,77,3,1,2
"Rua Vereador Garcia Rodrigues Velho, Cabral",1431799,101,3,2,2
"Avenida Marechal Humberto de Alencar Castelo Branco, Cristo Rei",825758,87-105,1-3,1-2,1-2
"Rua São Pedro, Cabral",3090000,240,3-4,3,5
"Rua Francisco Lachowski, Campina do Siqueira",525000,52-73,2-3,1,2
"Rua David Geronasso, Boa Vista",980000,129,3,2,3
"Uberaba, Curitiba",570000,110,3,1,3
"Rua Desembargador Arthur Leme, Bacacheri",519900,101,3,1,2
"Rua Cocos, Uberaba",650000,126,3,2,2
"Rua Mustapha Francisco Lemes, Barreirinha",450000,698,,,
"Travessa Madre Júlia, Cristo Rei",594800,69,2,1,2
"Rua Mário Bueno Sobrinho, Jardim das Américas",795000,200,3,3,2
"Avenida República Argentina, Vila Izabel",359000,45,,1,
"Rua Antônio Valle, Santa Felicidade",5899430,5163,,,
"Rua Antônio Freitas Barbosa, Capão Raso",369900,45,2,1,1
"Avenida Visconde de Guarapuava, Centro",247735,30,1,,1
"Cachoeira, Curitiba",297000,396,,,
"Rua Frei Bernardino Tomat, Pilarzinho",2400000,2009,,,
"Rua Tenente Miguel Afonso Ribeiro Cubas, Capão Raso",355000,62,2,1,2
"Rua Dona Alice Tibiriçá, Bigorrilho",1960000,132,3,2,4
"Rua Antônio Freitas Barbosa, Capão Raso",365900,48,2,1,1
"Rua Luiz França, Cajuru",229000,35,2,,1
"Rua Ângelo Nabosne, Ecoville",1472138,130,3,2,4
"Avenida Presidente Affonso Camargo, Cristo Rei",683300,81,3,1,2
"Rua Vereador Washington Mansur, Ahú",825000,97,3,2,1
"Rua Jovino do Rosário, Boa Vista",411278,51,2,1,1
"Rua Guaianazes, Portão",950000,97,3,2,2
"Rua Jerônimo Durski, Champagnat",4157780,133-260,2-3,2-4,4-5
"Rua Professor Ulisses Vieira, Vila Izabel",577150,67-179,2,1-2,2-3
"Água Verde, Curitiba",3954700,219,3,4,5
"Rua Ubaldo Brunatti, Santa Felicidade",650000,132,3,2,3
"Rua João Obrzut, São Braz",1300000,280,4,4,4
"Rua O Brasil para Cristo, Boqueirão",850000,420,,,2
"Rua Alberto Potier, Boa Vista",916421,86,3,1,1
"Cabral, Curitiba",1527300,160,3,,5
"Avenida Paraná, Cabral",1424000,131,3,2,4
"Santa Cândida, Curitiba",340500,66,3,1,1
"Rua Alberto Folloni, Ahú",1935251,168,3,3,5
"Rua Pedro Collere, Vila Izabel",1170807,126,4,2,4
"Mossunguê, Curitiba",756710,159,2,,2
"Rua Pandiá Calógeras, Centro",380000,34,1,1,1
"Rua Alberto Potier, Boa Vista",724390,73,2,1,2
"Avenida República Argentina, Portão",223929,32,1,,1
"Avenida República Argentina, Água Verde",450000,65,,1,1
"Pilarzinho, Curitiba",835813,112,3,2,3
"Alameda Princesa Izabel, Bigorrilho",2776120,237,3,3,5
"Avenida Nossa Senhora da Penha, Cristo Rei",410000,97,3,1,1
"Rua Professora Doracy Cezzarino, Portão",1650000,244,3,3,3
"Rua Martim Afonso, Bigorrilho",1786900,127,2,3,3
"Centro, Curitiba",160000,53,,,1
"Rua Jerônimo Durski, Bigorrilho",809518,94,3,1-2,1
"Rua Jerônimo Durski, Bigorrilho",627027,68,2,1-2,1
"Rua Jerônimo Durski, Bigorrilho",Sobconsulta,68-154,2-3,1-2,1
"Rua José Cadilhe, Água Verde",2100000,189,4,3,3
"Rua Eduardo Sprada, Campo Comprido",7900000,832,4,6,6
"Avenida José Gulin, Bacacheri",460000,52,2,2,2
"Rua Martim Afonso, Bigorrilho",2108900,161,3,3,3
"Avenida Sete de Setembro, Centro",417000,47,,1,1
"Uberaba, Curitiba",699000,162,3,2,2
"Rua Monsenhor Manoel Vicente, Água Verde",1518400,150,3,2,3
"Rua Júlio Eduardo Gineste, Santa Quitéria",775000,448,,,
"Rua José Bajerski, Abranches",780000,180,3,3,4
"Bairro Alto, Curitiba",470000,500,,,
"Cidade Industrial, Curitiba",540000,79,3,1,1
"Rua Apolônio de Tiana, Santa Cândida",290000,128,,,
"Bigorrilho, Curitiba",1062235,43,1,,1
"Rua José Zaleski, Neoville",302000,10,2,1,2
"Água Verde, Curitiba",3200000,239,4,4,5
"Rua Benjamin Constant, Centro",235000,49,,1,1
"Rua Euclides da Cunha, Bigorrilho",529258,55,,1,1
"Santa Cândida, Curitiba",1620000,1394,,,
"Rua Canadá, Bacacheri",1480580,177,3,2,4
"Rua Belém, Cabral",1428000,131,4,2,3
"Rua Antônio Escorsin, Santa Felicidade",1549600,427,4,2,4
"Rua Jerônimo Durski, Bigorrilho",Sobconsulta,68-154,2-3,1-2,1
"Rua Belém, Cabral",885000,99-165,3-4,1-3,1-2
"Rua Belém, Cabral",885000,99-165,3-4,1-3,3-4
"Uberaba, Curitiba",649990,178,4,2,3
"Rua Luísa Dariva, Campina do Siqueira",3799000,198,3,3,5
"Rua Luiz Zilli, Campo Comprido",319000,46,2,1,1
"Batel, Curitiba",1474699,107,3,2,4
"Rua José Zaleski, Capão Raso",435956,65,2,1,1
"Rua Theodoro Makiolka, Santa Cândida",614053,104,3,1,1
"Rua Agostinho Brusamolin, Capão Raso",361000,82,2,2,1
"Travessa Percy Withers, Água Verde",1950000,157,3,,4
"Rua Fernando de Noronha, Santa Cândida",299006,53,2,1,2
"Boqueirão, Curitiba",261136,47,2,1,1
"Travessa Frei Caneca, Centro",450000,94,3,,4
"Rua Deputado Benedito Lúcio Machado, Xaxim",499900,109,3,1,2
"Centro Cívico, Curitiba",199000,36,,,1
"Mossunguê, Curitiba",1650000,223,3,3,5
"Capão Raso, Curitiba",319000,63,2,,1
"Champagnat, Curitiba",1554900,126,2,2,3
"Rua Clara Polsin, Novo Mundo",372631,60,2,1,1
"Portão, Curitiba",988000,103,3,,3
"Rua Desembargador Ermelino de Leão, Centro",250000,36,1,,1
"Rua Maria Clara, Alto da Glória",733880,76,2,2,2
"Rua João Nicco, Mossunguê",482000,35,1,1,1
"Rua Acre, Água Verde",179088,15-24,1,0-1,1
"Rua João Américo de Oliveira, Cabral",2597770,180-350,3,3-4,5-6
"Rua São Thiago, Cajuru",140000,28-67,1-3,1,1-2
"Rua Visconde do Rio Branco, Centro",630000,140,4,1,2
"Rua Gabirobas, Uberaba",2500000,550,5,4,6
"Praça Generoso Marques, Centro",439000,133,,,3
"Rua João Negrão, Centro",150000,28,,,1
"Avenida Paraná, Bacacheri",1990000,368,,15,
"Rua Virgínia Dalabona, Barigui",1380000,265,4,3,4
"Rua Canadá, Bacacheri",980499,99,3,2,3
"Pilarzinho, Curitiba",2050000,483,4,4,6
"Rua Engenheiros Rebouças, Rebouças",1800000,330,,11,
"Rua Jeremias Eugênio Fernandes, Tatuquara",308000,70,3,1,1
"Rua Menezes Dória, Hugo Lange",1075770,130,3,2,4
"Cidade Industrial, Curitiba",315000,70,3,1,1
"Rua Ana Aparecida Lopos Canet, Xaxim",548000,145,3,2,2
"Rua Engenheiro Costa Barros, Cajuru",490000,127,,,1
"Avenida Cândido de Abreu, Centro Cívico",253000,36,,,1
"Alto da Glória, Curitiba",906000,75,2,2,2
"Rua Martim Afonso, Bigorrilho",1889000,154,3,2,5
"Rua Deputado Atílio de Almeida Barbosa, Boa Vista",265000,35,1,,1
"Rua Capitão João Zaleski, Lindóia",295000,54,2,1,1
"Rua Vicente dos Santos, Umbara",549999,333,3,3,5
"Rua Jerusalém, Alto Boqueirão",700000,522,,,
"Rua Quintino Bocaiúva, Cabral",3058500,226-368,3-4,3-4,4-5
"Rua Quintino Bocaiúva, Cabral",2813000,226-554,3,3-4,4-5
"Rua Amazonas, Água Verde",389900,38-91,1-3,1,1-3
"Rua Alberto Pasqualini, Uberaba",600000,478,,,
"Rua Lourival Schilipak, Guabirotuba",460000,77,2,1,1
"Rua Pedro Collere, Vila Izabel",1275909,123,4,2,4
"Rua Deputado Atílio de Almeida Barbosa, Boa Vista",655000,89,3,1,2
"Rebouças, Curitiba",279207,35,1,1,1
"Rua Luciano Guimarães de Gracia, Taboão",499000,99,3,2,2
"Avenida da República, Portão",879912,87,2,1,1
"Rua João Bettega, Portão",360410,61,3,1,2
"Avenida Silva Jardim, Batel",470000,27,1,,1
"Rua Maria Trevisan Tortato, Novo Mundo",490000,60,2,1,2
"Avenida Marechal Floriano Peixoto, Centro",526316,81,,,1
"Rua Mariano Torres, Centro",1137700,107,3,1,3
"Avenida da República, Portão",994282,96,3,1,1
"Cajuru, Curitiba",583000,125,3,3,2
"Rua Catarina Margarida Luvizoto Gorda, Ecoville",2949000,188,4,3,5
"Rua Oscar Gomes de Oliveira, Santa Cândida",261000,50,2,1,1
"Rua João Viana Seiler, Parolin",337500,64,2,1,2
"Rua Vitorino, Xaxim",490000,135,3,2,3
"Rua Raul Zanon, Cidade Industrial",520000,565,,,
"Avenida Nossa Senhora da Luz, Cabral",5866751,301,3,3,4
"Rua Deputado Joaquim José Pedrosa, Cabral",781216,85,3,1,2
"Rua Maranhão, Água Verde",625000,54-100,2-3,1-2,2-3
"Rua Presidente Epitácio Pessoa, Jardim Social",442000,56-78,2-3,1-2,2
"Rua Presidente Epitácio Pessoa, Jardim Social",240000,26,1,,1
"Rua João Américo de Oliveira, Cabral",1990000,182,3,,5
"Rua Monsenhor Ivo Zanlorenzi, Ecoville",1590000,203,3,2,4
"Rua Engenheiros Rebouças, Rebouças",940000,87,3,2,2
"Rua Diamante do Norte, Fazendinha",890000,220,3,8,4
"Rua São Vicente Pallotti, Cajuru",370398,58,2,1,2
"Água Verde, Curitiba",309900,39,1,,2
"Rua Doutor Waldemiro Pereira, Capão Raso",535500,98,2,1,2
"Rua Ângelo Tozim, Campo de Santana",420000,98,3,2,3
"Rua Rodolfo Bernardelli, Uberaba",640000,150,3,2,3
"Rua Piauí, Água Verde",199000,27,1,,1
"Rua Agostinho Brusamolin, Cidade Industrial",230000,47,2,1,1
"Bom Retiro, Curitiba",1014445,168,3,2,2
"Rua Cidade de Rodeio, Cidade Industrial",140000,42,2,1,1
"Rua João Batista Trentin, Tingui",549900,68,3,1,2
"Rua Engenheiro Heitor Soares Gomes, Portão",750000,156,3,2,1
"Rua Oliveira Viana, Boqueirão",519000,110,3,2,3
"Rua Ângela Dall'Osto Vizoli, São Braz",1650000,289,4,3,1
"Rua Alberto Heyn, Uberaba",595000,136,3,2,4
"Rua Comendador Araújo, Centro",1070000,216,,1,3
"Rua Arábia, Cajuru",370000,305,,,
"Capão da Imbuia, Curitiba",319900,46,2,,2
"Rua Coronel Airton Plaisant, Santa Quitéria",666377,73-182,2,2,2-3
"Avenida Nossa Senhora da Luz, Cabral",4024860,304-608,3-4,3-4,3-6
"Rodovia BR-116, Tarumã",299900,45-56,1-3,0-1,1-2
"Rua Amaury Lange Silvério, Pilarzinho",500000,474,,,
"Rua Schiller, Cristo Rei",525000,73,2,2,1
"Rua Francisco Raitani, Capão Raso",3180000,1265,,,
"Rua Elvira Haupt Grotzner, Juvevê",3700000,357,4,4,6
"Rua Padre Leonardo Nunes, Portão",785900,104,3,2,2
"Rua Professor Fábio de Souza, Santa Quitéria",590000,424,,,
"Rua João Batista Zagonel Passos, Xaxim",379000,53,2,1,1
"Rua Alberto Potier, Boa Vista",724390,73,2,1,2
"Rua Nossa Senhora da Cabeça, Cidade Industrial",160000,48,2,,1
"Rua José Kormann, São Lourenço",1320000,400,4,6,5
"Rua Jovino do Rosário, Boa Vista",481000,61,3,1,2
"Rua Rio Grande do Norte, Guaíra",290000,47,2,1,1
"Rua Quintino Bocaiúva, Cabral",5784000,337,3,4,4
"Rua Paulo Setúbal, Hauer",599000,112,3,2,4
"Rua Zeila Moura dos Santos, Cristo Rei",431670,78,1,,1
"Rua Doutor Laurindo Abelardo de Brito, Boqueirão",650000,770,,,
"Rua Caetano Granato, Pilarzinho",600000,821,,,
"Boa Vista, Curitiba",1086224,200,2,2,3
"Champagnat, Curitiba",915000,95,3,1,2
"Rua Engenheiros Rebouças, Rebouças",920000,120,3,3,2
"Rua Desembargador Otávio do Amaral, Bigorrilho",821063,72,2,1,2
"Avenida Nossa Senhora Aparecida, Seminário",344490,52-53,2,1,1
"Rua Abílio Peixoto, Cabral",635000,75,3,2,2
"Rua Vitória, Cabral",443900,22-95,1-3,0-2,1-2
"Rua Cid Marcondes de Albuquerque, Pinheirinho",1530000,242,3,4,4
"Rua Belém, Cabral",750000,106,3,1,2
"São Braz, Curitiba",680000,126,3,2,2
"Rua Tenente Tito Teixeira de Castro, Boqueirão",480000,495,,,
"Ecoville, Curitiba",3537200,227,3,2,3
"Rua Fernando de Noronha, Santa Cândida",299006,53,2,1,2
"Travessa Frei Caneca, Centro",450000,94,3,,4
"Centro Cívico, Curitiba",199000,36,,,1
"Capão Raso, Curitiba",319000,63,2,,1
"Champagnat, Curitiba",1554900,126,2,2,3
"Rua João Nicco, Mossunguê",482000,35,1,1,1
"Cabral, Curitiba",804000,85,3,3,2
"Guaíra, Curitiba",275000,35,1,1,1
"Centro, Curitiba",3500000,772,,,
"Rua Deputado Atílio de Almeida Barbosa, Boa Vista",655000,89,3,1,2
"Rebouças, Curitiba",279207,35,1,1,1
"Rua Luciano Guimarães de Gracia, Taboão",499000,99,3,2,2
"Rua João Bettega, Portão",360410,61,3,1,2
"Avenida Silva Jardim, Batel",470000,27,1,,1
"Rua Maria Trevisan Tortato, Novo Mundo",490000,60,2,1,2
"Avenida Marechal Floriano Peixoto, Centro",526316,81,,,1
"Rua Coronel Amazonas Marcondes, Cabral",813067,73-112,2-3,1-2,1-2
"Rua Morretes, Portão",520000,62,2,2,1
"Rua Augusto de Mari, Portão",203155,31-57,1,0-1,1
"Avenida São José, Cristo Rei",197000,24,1,,1
"Rua Monsenhor Ivo Zanlorenzi, Cidade Industrial",550000,69,2,1,2
"Rua Adolfo Werneck, Uberaba",720000,180,3,2,3
"Rua Coronel Joaquim Ignácio Taborda Ribas, Bigorrilho",2500000,210,5,,4
"Rua Francisco Lourenço Johnscher, Boqueirão",580000,218,3,4,3
"Rua Coronel Amazonas Marcondes, Cabral",984073,107,3,1,3
"Rua Belém, Cabral",1428000,131,4,2,3
"Rua João Batista Trentin, Tingui",368000,71,2,1,2
"Rua Nicolau Salomão, Tingui",425000,73,3,1,2
"Travessa Percy Withers, Água Verde",5350000,316,4,4,5
"Rua São Mateus, Portão",299000,62,3,1,1
"Boa Vista, Curitiba",1200000,248,3,2,4
"Rua Professor Pedro Viriato Parigot de Souza, Campina do Siqueira",2810000,244,4,4,5
"Rua Miguel Suchevicz, Barreirinha",1800000,1770,,,
"Rua Batista Pessine, Vista Alegre",2400000,384,5,2,6
"Rua Jovino do Rosário, Boa Vista",762509,106,3,,2
"Rua Jóquei Clube, Prado Velho",226396,32,2,,1
"Santa Cândida, Curitiba",282000,50,2,,1
"Rua Canadá, Bacacheri",933253,106,3,2,2
"Rua Professor Pedro Viriato Parigot de Souza, Cidade Industrial",1517500,166,4,2,4
"Rua São Vicente Pallotti, Cajuru",363100,58,2,1,2
"Avenida República Argentina, Portão",198000,23-43,1-2,0-1,1
"Avenida da República, Portão",250916,28-97,1-3,1,1-2
"Rua Serafim França, Novo Mundo",417852,60-111,2-4,1-2,2-3
"Pinheirinho, Curitiba",585000,174,3,3,2
"Rua Emiliano Perneta, Centro",574900,131,3,1,3
"Rua Raposo Tavares, Pilarzinho",3200000,427,4,4,7
"Avenida Nossa Senhora Aparecida, Seminário",377990,48,2,1,2
"Rua João Ramalho, Bairro Alto",570000,92,3,3,2
"Juvevê, Curitiba",1600000,144,3,3,4
"Avenida República Argentina, Água Verde",280300,34,,,1
"Rua Guilherme Pugsley, Água Verde",1946084,155,3,3,3
"Rua Antônio Freitas Barbosa, Capão Raso",369900,48,2,1,1
"Rua Capitão João Busse, Cajuru",709516,92,3,1,2
"Rua Vitória, Cabral",427900,60,2,1,1
"Centro, Curitiba",1174000,106,3,1,3
"Rua Pedro Kachel, Santa Cândida",225690,38,2,,1
"Campo Comprido, Curitiba",1437000,310,3,5,3
"Rua Pandiá Calógeras, Cajuru",780000,686,,,
"Rua Adinar dos Santos Ribeiro, Fazendinha",580000,84,3,4,3
"Rua Martim Afonso, Bigorrilho",2020000,141,3,3,5
"Rua Coronel Amazonas Marcondes, Cabral",984073,107,3,1,3
"Rua Deputado Joaquim José Pedrosa, Cabral",765922,85,3,2,2
"Rua Nicolau José Gravina, Cascatinha",2544967,256,4,4,3
"Rua Antônio Zanon, Tatuquara",145000,49,2,1,1
"Rua Arthur Mohr, Portão",418900,35-78,1-3,0-2,1-2
"Rua Arthur Mohr, Portão",263900,35-78,1-3,0-1,1-2
"Rua Canadá, Cabral",980499,106-112,3,2-3,2
"Rua Sete de Abril, Juvevê",846000,177,4,4,2
"Rua Jerônimo Durski, Bigorrilho",627027,68,2,1,1
"Boqueirão, Curitiba",595000,102,3,1,3
"Rua Zeila Moura dos Santos, Cristo Rei",431670,78,1,,1
"Boa Vista, Curitiba",1086224,200,2,2,3
"Champagnat, Curitiba",915000,95,3,1,2
"Rua Desembargador Otávio do Amaral, Bigorrilho",821063,72,2,1,2
"Avenida Silva Jardim, Batel",2349162,150,3,3,4
"Rua Diamante do Norte, Fazendinha",890000,220,3,8,4
"Tingui, Curitiba",223900,31,1,,1
"Rua Deputado Atílio de Almeida Barbosa, Boa Vista",655000,88,3,1,3
"Rua Piauí, Água Verde",199000,27,1,,1
"Rua Agostinho Brusamolin, Cidade Industrial",230000,47,2,1,1
"Rua Padre Anchieta, Bigorrilho",289990,34,,1,1
"Bom Retiro, Curitiba",1014445,168,3,2,2
"Rua José Américo Tizoni, Campo Comprido",796000,94,3,2,2
"Centro, Curitiba",320000,36,,1,1
"Rua João Batista Trentin, Tingui",549900,68,3,1,2
"Rua Ângela Dall'Osto Vizoli, São Braz",1650000,289,4,3,1
"Rua Comendador Araújo, Centro",1070000,216,,1,3
"Rua Arábia, Cajuru",370000,305,,,
"Rua Gago Coutinho, Bacacheri",530000,67-134,2-3,1-3,2-4
"Rua Paulo Gorski, Ecoville",2167816,205-610,3-4,3-5,5
"Rua Nicolau José Gravina, Cascatinha",Sobconsulta,257-384,3-5,2-6,4-5
"Portão, Curitiba",800000,168,4,3,5
"Rua Nicanor Rivas, Santa Felicidade",1850000,346,3,4,6
"Rua Bororós, Vila Izabel",1300000,280,3,7,2
"Rua Guilherme Pugsley, Água Verde",1946084,155,3,3,3
"Rua Antônio Freitas Barbosa, Capão Raso",369900,48,2,1,1
"Rua Júlia Wanderley, Mercês",1690000,177,3,2,3
"Rua Capitão João Busse, Cajuru",709516,92,3,1,2
"Centro, Curitiba",982000,107,3,2,2
"Avenida Anita Garibaldi, São Lourenço",500000,114,3,1,3
"Rua Pandiá Calógeras, Cajuru",780000,686,,,
"Rua Martim Afonso, Bigorrilho",2020000,141,3,3,5
"Rua Coronel Amazonas Marcondes, Cabral",984073,107,3,1,3
"Cidade Industrial, Curitiba",340000,96,3,2,1
"Rua Antônio Zanon, Tatuquara",320000,386,,,
"Rua Nicolau José Gravina, Cascatinha",2544967,256,4,4,3
"Ecoville, Curitiba",1320000,126,3,2,4
"Rua Antônio Zanon, Tatuquara",145000,49,2,1,1
"Avenida República Argentina, Portão",299768,48,,,
"Rua Mariano Torres, Centro",1192000,107,3,1,3
"Avenida Iguaçu, Vila Izabel",1783516,141,3,3,4
"Rua Eduardo Sprada, Campo Comprido",3150000,1993,,,
"Rua João Schleder Sobrinho, Boa Vista",568900,82-88,2-3,1,2
"Rua Ernesto Durigan, Cascatinha",1499000,250,3,2,3
"Rua Professor Pedro Viriato Parigot de Souza, Ecoville",3315375,227-393,3-4,4-5,5
"Santa Cândida, Curitiba",865000,148,3,2,3
"Rua Bolívia, Bacacheri",1150000,400,4,8,6
"Rua Coronel Ottoni Maciel, Portão",730000,117,3,2,3
"Rua Dona Alice Tibiriçá, Bigorrilho",700000,69,2,1,2
"Rua Dias da Rocha Filho, Alto da Rua XV",1263082,73,2,,3
"Praça Padre João Bagozzi, Água Verde",1590778,138,3,,4
"Juvevê, Curitiba",2325000,176,3,3,5
"Rua Benjamin Zilli, Ahú",3800000,463,5,3,7
"Rua Tobias de Macedo Júnior, Santo Inácio",431900,56,2,1,2
"Rua Zeila Moura dos Santos, Cristo Rei",432100,78,,,1
"Tingui, Curitiba",469900,59,2,1,1
"Rua Antônio Rodrigues, Seminário",950000,150,,2,5
"Novo Mundo, Curitiba",230000,40,2,1,1
"Rua Cocos, Uberaba",699000,125,3,2,3
"Rua Grã Nicco, Mossunguê",320000,56,,1,1
"Boa Vista, Curitiba",701076,74,2,1,2
"Rua Bom Jesus, Cabral",1440184,130,2,2,2
"Rua Alberto Potier, Boa Vista",726315,85,3,,2
"Santa Felicidade, Curitiba",600000,321,,,
"Rua Vinte e Nove de Junho, Bacacheri",757280,95,2,,2
"Água Verde, Curitiba",4228200,286,3,4,2
"Rua Vicente Ciccarino, Boa Vista",426900,57-115,2-3,1-2,2
"Rua Eduardo Sprada, Campo Comprido",5776059,600-662,4,2,3
"Rua Ricardo Negrão Filho, Portão",449000,82,3,1-2,2
"Rua Mato Grosso, Água Verde",2362445,155,3,3,1
"Rua Engenheiro Oswaldo Siqueira, Taboão",185000,378,,,
"Rua Benvenuto Gusso, Boa Vista",1200000,740,,,
"Pilarzinho, Curitiba",450000,455,,,
"Rua Ulisses José Ribeiro, Jardim das Américas",679340,600,,,
"Rua da Glória, Centro Cívico",430000,46,1,1,1
"Rua João Batista Trentin, Tingui",439900,60,2,1,1
"Rua Pedro Krasinski, Capão Raso",434770,73,2,1,2
"Rua Vinte e Nove de Junho, Bacacheri",786630,99,2,2,2
"Rua Jerônimo Durski, Bigorrilho",3570920,250,,6,
"Rua Júlia Huga Maria Negrello, Umbara",970000,191,3,2,3
"Rua Manoel Eufrásio, Juvevê",3250000,284,4,4,6
"Ecoville, Curitiba",1130962,105,2,2,2
"Rua Marumby, Campo Comprido",750000,208,3,3,2
"Rua Vereador Ângelo Burbello, Umbara",750000,130,3,2,3
"Rua Maria Augusta da Silva, Atuba",1399900,510,4,6,5
"Batel, Curitiba",624793,48,,,1
"Avenida Prefeito Maurício Fruet, Cajuru",220946,32,1,,1
"Avenida República Argentina, Água Verde",281000,34,,,1
"Rodovia BR-116, Xaxim",340000,55,2,1,2
"Rua Presidente Epitácio Pessoa, Tarumã",440000,56,2,1,2
